i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,3146328,5351835,64407,36352526,26728146,875579
2,4977807,6279322,61236,29976768,26718682,877009
3,1247060,5714062,58575,28007687,27551825,848776
4,380172,5344895,62774,29280959,26393561,1579508
5,310653,6101166,56842,28610904,26768689,891444
6,358938,5229744,57143,30039435,26120279,849333
7,389626,6073065,58415,29061599,27229514,862055
8,343851,5280958,44218,28531860,27528597,858946
9,402421,6192403,61925,29750251,26551711,825803
10,326058,5894921,59659,27894798,27499839,855331
11,375360,5285318,57995,30251182,26361159,845268
12,379126,6127296,57542,29323493,27415849,869414
13,346273,5227347,46685,30051406,26014895,860844
14,398597,6131748,61102,29142113,27198410,867304
15,335963,5693138,55626,28593655,26950986,852965
16,388471,5385183,63402,29852736,26685182,1593225
17,309325,6019170,57073,28142566,27474972,862700
18,358573,5300477,57914,30134886,26162202,849664
