i,sstep,lambdastep,gammastep,wstep,loss
1,419705486,199696794,6152633949,137799234,613831
2,658097019,2527766934,6530233062,141426577,575811
3,723986978,2152379105,6375159858,146660501,667111
4,736358997,4361484712,6874582762,145680081,591200
5,839906215,1844886801,6923102766,152675796,602788
6,726107626,714507906,6770995373,145881777,605875
7,788923114,1777498318,6884635546,147904127,590028
8,777503267,768944977,6759650742,146407482,691236
9,810370602,1705248739,6840843584,147797901,592715
10,744511678,770020354,6748549161,146642097,605563
