i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,16751,86653,4484,352683,208023,48681
2,24331,59101,3573,352489,147415,35476
3,7003,57760,2206,334426,143933,36662
4,6064,65694,2510,315626,146958,36445
5,5553,57262,2049,321443,146055,34479
6,5155,56230,2277,374513,149186,35555
7,5053,66290,2514,374989,157161,34728
8,6415,61039,4047,24606699,178080,56732
9,6818,61164,3554,518239,165768,37739
10,6316,59769,2863,578887,190364,36704
11,5633,56411,3516,473249,152990,35346
12,5719,54362,2799,418548,149266,33730
13,5253,55047,2786,367835,150246,46213
