i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,155050,256324,9800,1792964,200862,82954
2,231280,243685,6672,26288840,229970,63197
3,30369,244730,6913,1268262,227820,55888
4,15938,242500,8400,1269604,235033,58623
5,14646,242477,7173,1278745,224984,66228
6,15030,518157,6384,1525344,242121,101663
7,32588,553380,7561,1900282,219885,110770
8,15883,325970,5303,1915196,239040,72755
9,30946,518362,5498,1636062,257655,121516
10,14537,2517233,6824,2348738,252700,177845
11,14694,240397,4914,1231149,217373,59917
12,14341,232750,6074,1251897,224535,56918
13,14802,231747,5504,1259849,232994,58406
