i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,116710,247267,8338,1192557,222763,62616
2,144146,300637,5504,1108755,224486,55287
3,42177,360756,6913,1349769,254081,67377
4,14111,358796,4586,1262420,209174,66681
5,13596,389076,5680,1440816,199661,61916
6,13007,202619,5551,1376068,222757,54706
7,14066,196144,6253,12875995,463289,72640
8,12858,197378,5332,1119997,230784,60883
9,12746,184127,5126,1097114,217387,68817
10,13605,189868,5290,1095765,231056,63727
11,12597,184641,11799,1199733,194497,54327
12,12329,187108,4843,1188329,200279,55569
