i,sstep,lambdastep,gammastep,wstep,loss
1,239807597,155632176,545499839,5379063,68008
2,382272481,384559000,593827762,5367938,76799
3,337546503,261740633,558353690,5072520,73038
4,358420929,261396711,559876722,5130589,76642
5,348532747,259689999,555906475,5000750,75390
6,382053649,264274385,559235348,5031310,73668
7,342906760,266985564,558227491,5171874,80121
8,357209855,260237952,533047653,5036284,24228171
9,326375343,265560218,534024647,4979679,74229
10,350685495,284448094,540565246,5043022,109143
11,372332928,290705370,538759674,5023881,75108
