i,sstep,lambdastep,gammastep,wstep,loss
1,1261126,32554410,465488104,5385814,72813
2,27696501,160326795,508332166,5451396,72974
3,1951848,93878512,493450705,5578792,81598
4,2310132,125266216,489610186,5569375,70872
5,2051108,101569659,495765858,5603287,83408
6,2277583,99122281,492711390,5271293,76384
7,1891941,129168256,497502971,5554744,72781
8,2290992,98996595,508927945,5752380,94285
9,1974827,100922243,491431811,35190948,71148
10,2386275,100076246,495803519,5442371,71249
11,1899708,102279068,494046104,5436536,75320
12,2340879,126112433,488395755,5591078,79006
