i,sstep,lambdastep,gammastep,wstep,loss
1,511650,25194655,325681715,5525791,52199
2,759151,105509812,1140690856,621434062,46175
3,992785,103565685,364527551,572391297,55384
4,945144,190734528,316408694,95032598,57995
5,769740,27590378097,303290324,38229674,77872
6,986485,98906070,296077412,35506715,49515
7,766282,68833815,304100288,6484444,46730
8,31264780,84960323,320535737,5488011,48662
9,1005363,112815592,292932707,5544691,53223
10,757202,62959801,308067366,5140874,53361
11,765210,66811374,328304393,5435074,54622
12,992840,35140576,339392722,5484611,65633
