i,sstep,lambdastep,gammastep,wstep,loss
1,218288082,165256098,699643096,6023467,77430
2,516927972,476596291,674301348,29613567,81012
3,222933236,513410042,733284547,5969957,85829
4,243051113,369278921,762135736,6036586,96213
5,218291801,377670565,728263595,6001484,82741
6,238304186,258322590,678469817,5655363,80713
7,361484184,289866186,675752440,5595735,75094
8,385799142,297581046,670825715,5892619,75192
9,493132525,276002621,669779060,29410973,80943
10,244477203,280105394,691121328,5664584,81875
11,258693442,274505836,691539166,5758923,96002
