i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,17238,210656,6203,1379599,5357488,63262
2,127652,206038,5552,1240403,5212602,65963
3,164377,217764,5569,1307513,5637636,69755
4,27956,236905,6315,1308792,6248204,51751
5,23722,226481,6498,1253346,8755880,54453
6,24755,213610,5909,1249121,5257774,55544
7,52482,205921,6160,1225902,4711479,65154
8,24829,213153,5770,1216490,4709212,54002
9,24676,222411,5598,1224871,5316841,54329
10,25555,216945,5764,4634050,5615479,58228
11,23321,223107,5398,1191257,5182807,57701
