i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,7319,58759,2893,361766,6059413,47277
2,10358,77170,2551,371211,5314764,39866
3,8684,70773,2553,341468,7535197,65366
4,10944,79703,2707,4734508,5694653,45359
5,10149,84159,2500,378871,5076016,34497
6,8958,72432,2180,323328,5012701,33143
7,9662,71691,2281,335960,5171145,34572
8,8993,71406,2450,348459,5145253,34006
9,8956,72515,2627,335320,5442115,35383
10,8931,71631,2312,335771,5654059,34312
11,9115,74966,2175,4113350,5781815,32527
12,9094,73280,2435,318103,5228651,35578
13,9170,75106,2343,316534,5474565,34148
14,9756,70293,2468,341766,5087122,34836
