i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,61792,1477737,9458,4495222,13161557,387085
2,60759,805694,9144,4425445,11695460,330981
3,62878,828029,9206,4362192,11098638,324157
4,72416,788670,8240,4856210,10512611,315247
5,68163,797814,8232,4400293,11478732,316358
6,74027,809945,8600,5033906,10875893,316267
7,63241,802095,8777,4137036,10874756,315810
8,63320,815072,8561,4400602,14367269,322405
9,219055,818171,13788,6177527,13417258,323869
10,63246,1286970,9418,4233412,12351975,306757
11,66747,778422,8078,4081223,10722418,308584
12,63538,776671,8730,4415553,11591037,309375
13,72678,774746,8670,4858756,11185705,315567
14,62917,796643,8763,4127952,10844822,304902
15,72453,781746,7863,4917000,10437319,301979
16,62928,774811,8149,4455588,11509512,309568
17,62600,805209,8606,4101206,13804851,314623
18,62891,796337,9118,4127013,10905411,305849
19,63149,1334549,9080,4406084,13194889,308008
20,63355,764746,8193,4361734,11392265,306174
21,62945,771212,8611,4122732,10948471,314716
22,77757,770702,8492,4643103,10527194,306022
