i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,121010,1586456,13677,8831328,12108027,426467
2,628669,1553030,13757,8880733,12304680,409441
3,107359,1540910,13300,7955541,15242132,403721
4,100674,2039760,14103,7888357,12325124,402333
5,103198,1597131,14501,8068814,11973328,403628
6,122226,1564127,14038,8512714,11786322,393389
7,124445,1579797,15441,9469393,11773245,376803
8,127292,1557839,14570,10136062,13568517,396414
9,101691,2154127,14305,8116933,14477949,397445
10,103717,1565533,13470,8180987,13212258,853701
11,103081,1555313,12924,8056239,12940966,398411
12,121281,1578849,13136,8652166,12866035,380835
13,122457,1558208,13693,8436169,11721647,379350
14,120490,1569285,14055,8635866,13623388,388472
15,101480,2114084,13984,7745149,13486645,396371
16,102149,1572281,13903,7773067,12034129,401882
17,120808,1567438,14015,8276112,11775648,394697
