i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,570627,2099848,29000,12826530,14525714,504102
2,706293,2088709,28087,12560903,13971071,466828
3,153588,2104249,17879,12128988,14012122,476981
4,151974,2096766,16624,11983755,14382703,453219
5,155179,2094597,27600,11716025,14007871,435692
6,150549,2100875,16370,11719428,14067429,455945
7,147867,2083676,16231,11797809,14018563,434752
8,148634,2087536,16723,11534238,14123375,447404
9,147605,2102414,17502,11337590,14147880,444433
10,148271,2091099,16375,11309914,14197331,929012
11,138221,2563166,15161,10899688,14174935,446057
12,137218,2593929,16013,10934362,14392255,484383
13,137562,2571094,16361,10882797,14302156,481095
14,136783,2485841,17187,10881967,14298015,495103
15,137193,2443975,15680,10885121,14265143,492658
16,137763,2509056,16458,10912804,14462260,505242
17,137770,2487350,16578,10954905,15727381,507907
18,137636,2500879,16801,11170714,15756203,496835
19,137051,1957948,17108,10940958,18751379,490852
20,141012,1985674,17169,11148102,17546618,507560
21,136942,2003416,16096,10997984,17353448,516722
22,135713,1991720,16068,10993163,17381971,508244
23,148401,2001692,17040,13593578,14370572,498816
