i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1328287,5046908,40212,25374796,23685357,721480
2,5096480,4727217,38665,23586483,24129575,705008
3,529473,4708998,39580,24917701,23141827,736507
4,270827,4441921,39053,23523825,24595597,734553
5,277636,4511067,39413,24404543,25022874,717096
6,274327,4109387,39096,23021254,27186007,701043
7,272833,4176318,39851,24224222,26144211,715293
8,289048,4306273,43451,25485942,23168608,689651
9,291244,4384967,46748,23930884,22699597,681066
10,289707,4381183,42727,25377822,22694887,666068
11,287702,4324409,42249,23481175,22858090,658164
12,284224,4404297,41079,24944313,22845850,1310637
13,252973,5079862,38048,23130535,23916160,657916
