i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,454020,2102743,15528,12757854,18096662,520118
2,425065,2100115,15838,11978163,15672007,480207
3,153150,2025865,15463,11780201,14476079,463728
4,153803,2118247,15464,11493343,13429158,460562
5,156027,2098568,14873,11408080,13703422,457547
6,158581,2128911,16257,11688228,14569367,445416
7,159044,2128389,16193,11626761,14675303,444299
8,157973,2116172,15702,11492505,14732657,445384
9,156095,2119855,15810,11422533,14868554,439058
10,154423,2703089,15355,11421812,14968219,1079214
11,133767,3157797,15255,10867883,15546931,455738
12,134446,2804456,16275,10889712,17349546,472689
13,134609,2779772,15392,10980803,17751341,474741
