i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,154517,1104489,11541,5714430,11304282,416706
2,237787,1079436,9913,6368437,10705504,345192
3,75727,1057609,9956,5945973,12152816,338815
4,74910,1082483,10457,5780208,11371053,336431
5,87034,1079948,11425,6668652,10098416,324082
6,75781,1080348,10463,5502302,10766431,326124
7,86630,1078132,10278,5932498,10504902,323517
8,76686,1082157,10037,5746113,12806894,327235
9,75769,1063170,10165,5700278,11276847,336384
10,87979,1059475,11797,6317416,10351932,318059
11,76621,1529137,10252,5456653,11298148,339012
12,77174,1073788,10942,5457553,10607511,327548
13,86253,1148926,11492,5969050,11903474,403944
14,76570,1088320,10405,5911469,11419399,373880
15,89776,1066067,10851,6652924,11037061,325493
