i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,187831,3141637,30924,14900712,17689593,544127
2,1498477,2611202,30783,15768507,15770493,560410
3,179143,2614065,31662,15540060,17112657,571393
4,180484,3201731,31689,14980044,17483792,553952
5,185702,2576323,30197,13821732,19603986,571764
6,176933,2623533,32053,16345280,16198336,579213
7,176866,2634932,30855,15539893,16625930,548802
8,175440,2988944,35328,14446916,17772501,548488
9,175735,2619992,31704,15441670,15865829,567099
10,176692,2641914,31206,15250190,17169326,587517
11,187449,3187916,33730,16430658,19069866,571894
12,163882,2509310,30160,14208752,19978800,573239
13,180164,2602981,31482,16339793,16197969,549523
14,178002,2648656,32288,15456943,16633391,563990
15,175916,2979810,31257,14337280,18712770,556864
16,176952,2621076,31503,15484528,15927486,552500
17,178182,2614663,31510,15187008,17104669,534589
18,177322,3120099,30953,14593076,17644364,554677
