i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1765396,4188454,49823,27302910,23056112,695944
2,2643262,4078964,42175,22946310,21420352,641703
3,269830,4047643,38446,23816303,21178961,608385
4,274255,4067167,40727,22153240,21123289,602345
5,275923,4075848,38910,23667500,22380237,656860
6,261838,3911075,38122,22727362,24140810,659265
7,265190,3790749,37071,21968630,24984057,656766
8,263451,4247573,36631,23096398,22173074,668482
9,255436,4269725,36667,21936378,22755258,663601
10,253139,4505847,36940,22995177,21528160,688370
11,254130,4462801,37145,22017291,22633147,673259
12,252679,4525798,35930,23548283,21408816,666670
13,250947,3967280,618683,22092372,22390395,675940
14,236011,3978361,36849,23145864,21549295,646604
15,263030,3996257,40337,22550545,21316147,608755
