i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,82853,1269338,11216,6475562,11794645,355530
2,118326,1211542,11135,6881895,11218055,352655
3,82402,1220813,10863,6027336,10984447,348812
4,99459,1218085,9814,6461917,10275643,358251
5,103706,1223969,11598,8285658,11457264,352910
6,81828,1212586,10838,6400453,11786703,356343
7,100485,1220256,10445,6819347,11368346,350695
8,102190,1217790,9975,6782940,11589657,345550
9,82292,1220374,10747,5931509,10688035,360654
10,101579,1198398,10715,6454626,10257673,343895
11,102114,1222543,10474,8277342,11996168,352283
12,81696,1221384,10775,6400982,11902991,351196
