i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,69090,884003,8289,4741775,9731334,350610
2,278232,901217,8100,5106704,10366397,314085
3,67290,900915,7675,4365695,9786155,316093
4,83826,889893,7897,4844874,10033516,320666
5,69057,886787,7359,4324409,9531129,311117
6,83586,883463,7514,4832714,9271549,312314
7,66231,888221,7449,4407821,9585831,321956
8,82757,880021,7323,4831616,9106768,308443
9,66490,878982,7355,4383323,9990343,349292
10,83370,893415,7980,4812121,9127491,303950
11,66366,894033,7479,4418334,10280815,854640
12,66942,886493,6974,4388839,9348889,310190
13,67242,1471282,7805,4328078,10960381,311073
14,72612,861202,7189,4320736,9237851,310987
