i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,758567,4069895,40833,23862447,25430546,637231
2,4127408,4040097,38541,22428554,26190142,654356
3,265341,3892187,38290,23606883,25129673,641076
4,265034,4494391,38052,22860301,25786935,640328
5,263034,4421920,38887,23423989,23714404,665852
6,263503,4474273,39266,22176473,23570698,717125
7,265941,4287393,39741,23142758,22368122,736680
8,259763,4326924,38035,22320573,22975372,668651
9,259100,4642050,40022,23153752,23841016,688566
10,259773,4435624,38971,22343041,23366863,686876
11,260272,4493249,38560,23253995,21779803,673736
12,264243,4527623,38064,27705196,24652815,659526
13,260802,4564713,37440,23551819,21712028,661632
14,259697,4509128,37398,22504717,22795038,663179
15,259919,4681461,38271,23397269,21621178,677621
