i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,161309,141811624,32299,38889478,626001288,3300902
2,37046,131635762,40939,156557036,577332953,100884543
3,72082,145549358,41453,92497742,657211844,28668083
4,34551,142651048,31100,156540663,592125747,85939107
5,33701,132696839,30524,155077121,686746684,85569873
