i,sstep,lambdastep,gammastep,wstep,loss
1,7773597573,183468209,5850565098,77841442268,3911951
2,11238731643,1574918912,5535580444,76611473665,87056956
3,10732034789,959838042,4996718206,77089027821,86358382
4,11012158244,1552770375,5019428206,80325839604,97613308
5,10918693597,1855914842,4990491318,74942296306,86707285
6,11274812239,658635598,1502126176867,71858145676,86345587
7,10546587795,179488958115,5427967700,106854795473,86604428
8,10804915987,1834861432,5956339076,75772003007,52076892
9,10723042238,717326708,1448636077977,72549678388,79584128
10,11178889401,813734029,5262352861,71748853963,86801031
11,11141201402,1762465384,4953408749,72361084367,87051990
12,10634562534,638237333,1464551445305,95284008439,86381793
13,10990114763,179288431720,5376818402,111045982010,86839058
14,11527565490,1071411598,8475007946,84241735612,207730257
15,11425052132,222313954785,5060201192,85241676412,87338485
