i,sstep,lambdastep,gammastep,wstep,loss
1,2994970639,158859185,2370895922,69448903157,12063004
2,4499999445,448248456,2370130672,68445928968,96208488
3,4629131479,776634483,3114932787,86733547972,204795905
4,4551431795,327275115,2390356906,91751815722,109454785
5,4603862042,520879239,2269787145,86320711355,72743352
6,4506802652,89715561309,1115726675616,67381013593,12204334
7,4836801854,340853361,4177779474,71703066998,73812450
8,4659543961,91752895762,2950526292,67015948482,207978614
9,4973905260,178245738,2285335150,66512918090,77972037
10,4623516883,331133751,2230453534,66174419814,85772473
