i,sstep,lambdastep,gammastep,wstep,loss
1,2965613128,168308614,2546711651,59606905064,26188680
2,4627562981,671391657,2739160879,60416673688,87105192
3,4750035230,702548234,2555529784,61802314712,188038435
4,4270739719,184316996,2486421428,60149976814,236723869
5,4595963830,68027918470,1138002312600,60089630925,22565120
6,4432570475,75852390786,2505217193,61863718732,85745389
7,4184639600,502088100,2495821083,60333029811,85281767
8,3981063739,330473046,1315901334972,86522194616,71870037
9,4307378528,87763106564,12242805391,86088948787,86507682
10,4286779982,106679503197,2357881557,85164051322,86130488
11,4359509801,491369239,2286546148,86689651884,99761371
12,4336262276,342368501,8254710569,83600778828,150343082
