i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,412322,180624,11138,1863003,185985,81689
2,242678,172496,8824,25930283,187263,87157
3,45616,151071,8135,1698157,182886,70737
4,22431,153609,7908,1734050,178441,72924
5,22462,149720,7924,1746954,174711,68659
6,21999,167634,8583,1920070,172310,71387
7,22889,154467,8455,1721571,203853,73115
8,22008,153009,9737,1847066,171444,79696
9,22414,150154,8299,1765376,170240,72008
10,22275,456986,11446,2169706,188004,181334
11,24103,457519,11743,3224284,190404,171927
