i,sstep,lambdastep,gammastep,wstep,loss
1,213250752,282173961388,11862053242,53630933,405856
2,284035944,1809828833,4406510336,65818998,423049
3,230933838,1375676146,4655076684,47598533,432269
4,203582943,1361567324,4837197358,51189904,416012
5,269867240,1359687491,4385558825,38100221,424436
6,233649084,1330081344,4984115273,45109560,395405
7,286327495,1384491147,4658589121,62234536,402256
8,218079051,1420540356,4619987044,41607696,430997
9,241545753,1381880068,4724560671,49767013,410290
10,218242700,1264546533,4619828924,46613200,432372
11,257843165,1371319893,4979064361,51391939,406665
12,207574268,1248576937,4636877658,36121925,414870
13,193080096,1351456892,4629138113,64960401,420866
14,263808036,1273232968,4446075617,46207493,437211
15,267209146,1359438886,4919041167,51395150,419134
16,227189304,1270788945,4389954812,32355806,411005
17,266281436,1392254403,4488393287,61931002,417593
18,315623503,1273927013,4474656883,40399486,440835
19,268869933,1387574017,4851027694,41473508,396563
20,131456539,1422784842,4485520241,48616724,403899
21,182813018,1400744621,4974573935,41277396,397263
22,287955787,1268152339,4480207188,42583825,418043
23,186777657,1366240780,4847768133,39390538,394583
24,239279122,1419608922,4347234285,37810848,431091
25,281785341,1379881711,4620781141,51483728,418857
26,216208710,1417614808,4857295505,46640545,403846
27,195047824,1367189354,4489593757,55611035,425041
28,200427224,1271742645,4653786155,56104535,413948
29,221339118,1385743438,4657583312,41524574,425380
30,286564174,1432414699,4825789853,44663914,406294
31,311828827,1365490927,4503717690,39319329,410505
32,262592820,1426915949,4331692545,54740004,433932
33,216252604,1326791917,4972136864,47502552,403726
34,166724122,1267856928,4480919398,54249135,426732
35,216563926,1372463186,4853485722,47546485,409053
36,300394949,1423428849,4325895942,52499748,443985
37,187887490,1375842809,4961253140,48682080,423370
38,214011312,1270234915,4471939659,53036346,437907
39,201415821,1367467739,4857439319,46840666,399749
40,230640693,1424565625,4354259027,57812421,413478
41,199713675,1402998727,4968401988,47591796,410899
42,219078588,1271468061,4471582120,52031877,412892
43,276677054,1377342315,4835677839,46484582,414377
44,283480042,1274774269,4335961944,49809200,423534
45,215437493,1390748334,4985955995,47508756,399369
46,230157657,1272107333,4453899405,50452093,443024
47,194584338,1384380272,4832232235,45794487,400356
48,214628443,1272303518,4325386901,48467287,424938
49,274862457,1382617217,4965288155,35602024,390357
50,211646158,1273623352,4486159005,38631694,401724
51,180018931,1396285149,4444824004,68560027,405377
52,178196908,1267761274,4306080799,66810638,396925
53,266675125,1385857448,4611254521,58088146,426650
54,232451715,1416803672,4812685803,41064362,406344
55,469016697,1371109947,4504314044,32143137,426093
56,274595267,1422661210,4332512722,33754214,438151
57,206046256,1322861748,4632532744,37686289,411136
58,254235373,1417786375,4469662625,40370338,440867
59,271206315,1368346363,4481547560,42995807,432109
60,221837983,1417235235,4325770156,54668669,444793
61,253169351,1329537715,4620285223,45588433,426394
62,138896200,1420143459,4871880956,30631413,421877
63,202963818,1366741273,4576504671,34989483,391185
64,249427893,1419022845,4303456985,70569445,403336
65,179239767,1357222906,4628654386,55433476,445776
66,195889475,1416931134,4848614999,38991029,403920
67,277466767,1361756685,4467780243,72373525,417585
68,209324253,1426092994,4294719374,59382011,427838
69,305977030,1337492355,4627094768,50066301,430482
70,212505844,1426515076,4830607781,28644458,421426
71,254896782,1362701621,4524745307,37932485,403117
72,242539505,1278780874,4334224295,37289607,430115
73,200602029,1394326278,4642905702,47084564,418601
74,259823318,1275107113,4814504029,30974613,408765
75,263368825,1381748802,4593054837,35065308,419443
76,224015145,1272271449,4302147290,66447225,405095
77,297188899,1377912959,4616651178,48793222,438300
78,210833416,1280771326,4815325412,56406951,400279
79,222296644,1356736783,4472539782,71196373,404597
80,181829758,1423226070,4297858192,68649100,414132
81,241807549,1319514847,4621648576,74937294,403488
82,375872767,1268373768,4424361209,66227727,408377
83,200948855,1371806982,4454168976,70324963,412897
84,229056767,1415044740,4293494389,60617563,452226
85,338616147,1385928437,4622355112,52421127,445704
86,216331973,1278030877,4883716292,38412808,414629
87,245365359,1390417764,4469515718,67465890,409063
88,219205054,1431648464,4319374986,47613952,419045
89,276646441,1394527458,4979077625,56524867,417062
90,258718318,1421925707,4458041407,66518716,400088
91,222130035,1369866287,4482712151,69206695,449628
92,379193287,1414936685,4315112980,54559269,418229
93,182776878,1353520488,4979266417,40167347,400983
94,237339939,1280441378,4455719039,64573573,434656
95,297714875,1394623514,4509391456,30130915,410403
96,234010199,1427878570,4320919175,53428033,423646
97,199783126,1397766443,5013103517,55801841,420027
98,219179456,1272519052,4450121011,60238661,450642
99,289802223,1393836944,4479775193,53222784,432113
100,257898064,1275798247,4702963706,35518019,410482
