i,sstep,lambdastep,gammastep,wstep,loss
1,375676366,1170216233,10228699111,440875626,748752
2,1038334767,12746882276,5230563511835,1269341182,747202
3,1030352735,8587079091,10758780663,674869881,725712
4,1081222675,9383739977,10204288658,1854574037,739055
5,1102656467,7529417573,10171138605,46927268,745940
6,1021904711,1667123585,10683044614,49792250,759004
7,1058998393,6004534794,11249503721,63657965,724233
8,1093667853,1886821222,10690853633,49921876,707131
9,1028757010,1639410764,10673007328,66117011,738094
10,1023681063,1649684519,10695969495,48434772,757814
