i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,676781,1335416,13292,3392717,694182,111858
2,195493,1263066,12017,3553034,726019,110623
3,84946,1282536,11285,4636616,716790,110287
4,79860,1208552,11498,3499632,611672,97040
5,27301,2557539,9585,3616818,613579,96879
6,27123,1187549,9983,3187497,630618,93336
7,27285,1238525,9286,3264890,674234,95792
8,27099,1180296,9942,3815936,622972,90147
9,27408,1191530,9874,3229078,604903,95059
10,53843,1188252,8840,3433436,1770216,97485
11,26149,1195427,9701,3142349,609061,97419
12,26461,1829032,9167,3535911,615745,94535
13,26290,1178461,10292,3107478,614604,94288
