i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,21646,8260942,6362,996698,355187,394313
2,10223,328462,3872,910086,404747,77749
3,9118,303333,3379,939771,374059,71789
4,9116,294337,3849,897629,373316,72113
5,9695,309117,3268,883845,405972,82456
6,8864,309232,4726,928730,382286,52242
7,8781,298431,3639,951639,363005,48967
8,8671,324372,7915,1242129,344235,52076
9,9287,323316,3076,919179,1843103,53034
10,8877,299249,2633,940756,362890,48943
11,8551,290708,2896,840070,364424,48434
12,9057,292518,3147,856236,371686,50406
13,8516,291184,3717,886141,362860,55306
14,8533,283210,3483,841692,369746,45508
15,8587,297697,3326,854651,352187,45552
16,8618,286279,3529,922940,347969,45955
17,8946,294972,3087,1640427,373935,45316
18,8779,322027,3512,917447,400895,50215
19,14435,288297,3720,854667,366551,49341
