i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,171698,8090919,9840,1934358,437980,395878
2,180749,691241,6734,1899160,506460,90243
3,47026,645754,7826,1878616,466188,65247
4,16601,648760,6671,2306644,451423,75570
5,16467,1682787,6148,1866601,438372,80636
6,16213,622811,5403,1981390,452841,64025
7,15895,631107,7410,1801993,453077,62549
8,16182,629238,5854,1834052,463423,61071
9,16233,649998,5327,2211793,440048,72138
10,16040,627180,5807,3034692,446409,59475
11,16211,630981,6270,1780846,445044,60474
