i,sstep,lambdastep,gammastep,wstep,loss
1,1064108295,207705406,1053950298,762007693,102975
2,740777406,445779826,1140572527,2809240342,124699
3,687670902,641041633,1066284620,33833807,105147
4,696729498,307558820,1063739509,30784046,105227
5,695989487,248343829,1043515839,31642487,103684
6,669882162,257048537,1045443445,29290271,102023
7,700136187,257398626,1045632930,29673989,98517
8,696019658,248944312,1042666018,27548311,102895
9,734819712,248623384,1044520838,27059510,100652
10,665855435,249305507,1042103774,26547386,97571
11,711513575,250868083,1057555182,32871998,100087
