i,sstep,lambdastep,gammastep,wstep,loss
1,525713665,154596298,535946831,613969989,85650
2,114510334,536281911,519345453166,2359537560,125037
3,904830056,388723900,540321434,1517824569,87270
4,699612047,400155812,483523403,2429523436,95386
5,820567116,379859403,541990489,28780431,87491
6,653661664,199481603,529061836,23804855,86112
7,593290479,483823518,613004824,26332984,84472
8,660243596,530372513,600874646,460139224,96505
9,874715416,498604075,511567032,256184899,92060
10,643599563,371936157,1207149217,529321825,98207
11,722800033,428991618,556957684,34324144,82231
12,626224594,318276172,601427496,30258185,131338
13,669296726,748359452,598453693,24517096,86883
14,692748438,256888742,593594433,20331478,80783
15,642534292,250318064,577250639,30600506,88803
