i,sstep,lambdastep,gammastep,wstep,loss
1,589137463,154296858,568761672,525831486,94456
2,808432552,640687019,2037680814,1885412368,85999
3,718231560,366198921,558911378,940716053,89354
4,768323282,254095775,559978794,2158968168,93521
5,791053857,377786523,567132887,16733465,92874
6,885956649,203114491,568588773,16205678,79326
7,732135507,317925797,622779244,16421554,87203
8,723582485,425184353,544820183,39546694,102315
9,884008091,248150123,591022524,35354164,86723
10,695007822,264781650,596798010,31438092,85925
11,817741294,261989884,604698550,26732226,85391
