i,sstep,lambdastep,gammastep,wstep,loss
1,11459750,11615727,293110957,26997443,57971
2,2074382,106715424,425263298368,666895431,73786
3,2482741,57577444,354023714,869046092,63412
4,2461847,100030317,425329027177,1431186057,91506
5,2271011,59435784,320488971,821630471,70528
6,2254892,101616429,847558100,658642652,61355
7,2423932,65766543,332365167,41425737,1396874
8,2143571,57338748,329307747,25610893,60045
9,2040374,80346560,352137808,35825607,69482
10,2253818,45282301,360389029,23701354,61918
11,2030757,41047768,356479465,33954317,60067
