i,sstep,lambdastep,gammastep,wstep,loss
1,3712084,10639460,308152763,567085727,57496
2,1964296,176715692,592593112910,3224324311,109009
3,2919401,86109374,329890359,1028767946,61664
4,2368686,117000508,336458436,1467420699,60384
5,2045227,25024712586,406280022,2544041996,76009
6,1990762,97033757,330536096,15226624531,109992
7,2857812,107471927,138732767525,2361692078,90639
8,2754367,70690680,338205073,1006216914,56607
9,2313558,66090718,322975890,2327374876,61568
10,2040843,72925218,344671067,16674250,72629
11,8847714,51882254,347255389,18544885,68754
