i,sstep,lambdastep,gammastep,wstep,loss
1,1530351,21195922696,1007019618,42742745,51179
2,1157807,34589504,304459622,40781493,47062
3,957664,35212813,311649392,36108461,61323
4,1056975,33439352,320941811,29599869,48664
5,1035691,39735780,318941512,23586540,48812
6,977711,36636822,301898094,17328749,51489
7,959949,36498838,285652332,41233627,49377
8,1232508,37976750,288212833,39790799,46912
9,973842,46766982,294273519,35821373,57055
10,957033,33842082,306203280,30763509,50283
11,964675,41815913,307480813,24817985,48149
12,981306,39703972,325040216,19123139,49666
13,977261,46081847,295090363,41760952,47313
14,1263932,37674768,288078379,41202866,56751
15,965729,46258326,302182220,38706679,50621
16,960345,34369949,302007988,32370579,47941
17,1242812,41218843,314848794,26976547,50267
18,992748,39813900,310649002,20937892,49657
19,977805,46300179,293623573,41054285,52176
20,2509506,35771520,301746282,40930176,48039
21,978194,46972051,290100535,39447952,48949
22,978931,33909178,299826235,34205086,47252
23,1069988,42206744,313996995,27585641,48414
24,991512,39695992,322783619,22489414,50454
25,982981,46403766,323156537,16331055,46016
26,1255341,35984134,299290021,41222808,48600
27,967548,46136045,279402029,41165200,61376
28,989237,33335203,298582994,35816148,58888
29,1067784,41423966,304248496,29710383,48987
30,941713,39453220,315149911,24502157,51666
31,972923,45878621,312342544,17623302,46997
32,1081807,35005635,287013288,40187525,48253
33,975676,48118870,296902297,39719122,54006
34,969373,34354838,297044899,35867878,48898
35,1058662,42879060,318401364,31500694,61484
36,967132,39831802,309612657,25447637,47719
37,989400,46421364,309783905,19172447,51499
38,1243234,36176568,276825715,41231972,49287
39,972616,48967235,296887366,40979687,46668
40,965318,34500909,306996097,38154502,49931
41,1059323,42051253,299191470,33251811,48314
42,942001,39535581,318964263,27381205,49611
43,964646,46742682,308907400,20977074,49243
44,1069732,33263890,286752554,40472268,1352588
45,1147672,38172012,284650008,40532680,48661
46,968296,40547813,282031731,38837601,48631
47,1290088,46116768,299610746,33759128,50832
48,958748,35167286,316920500,28089330,58849
49,987513,46512948,311962933,22036928,47091
50,1075823,33757072,325614768,16292388,49029
51,991082,42059057,286138037,41575739,50953
52,982024,39231326,292094394,41342507,47963
53,1058627,38488656,306852239,35627563,57125
54,960682,35512319,315936865,30344867,47042
55,950516,39347343,318630495,24199251,50572
56,1068098,35882862,316106439,17931664,49428
57,976127,42959904,295319770,40980699,49922
58,963973,40155324,288060060,39516325,48589
59,1252125,46954692,293628556,39610597,50116
60,964597,35528870,305962743,31076092,48958
61,960577,46682599,306285629,25775783,49888
62,1237223,33362553,326360366,19474348,49099
63,986515,42054049,295430598,41670142,49559
64,963011,41325249,288671853,41223661,49868
65,1240172,46122255,302525986,38806697,47266
66,970329,35985475,311315264,33306828,50524
67,958021,47181003,304766910,27657020,49880
68,1232261,33441480,322767430,21203848,50292
69,977561,41535818,293938044,41929095,51775
70,1097008,39791500,298235224,40090714,47520
71,1199915,46472640,289119109,39544607,46102
72,967578,34797007,310283133,34206746,54796
73,962405,45830593,313832973,28089022,50680
74,1296813,33684703,310320169,22619705,47684
75,973325,42189898,321931576,16860758,52162
76,971699,40811116,298616384,40853710,48919
77,1226689,49300390,289417183,40442899,48880
78,966852,34475426,298002630,36143108,50211
79,954781,46363343,311573674,30309573,56976
80,1074701,34351134,320084651,24311014,57523
81,969752,42596280,321539201,18604439,48244
82,971720,40096907,297176774,40032533,48140
83,1117336,48168199,297208929,40786599,47522
84,981541,34703498,305383960,36392804,47856
85,955899,45233659,309937930,31741355,47189
86,1067535,33486776,318464278,25783955,48044
87,982295,38277200,320221555,20059271,48364
88,959175,40315270,286645555,41163398,46578
89,2557592,46505798,297114255,40990958,48816
90,967705,34735446,302910047,39361457,47385
91,975289,46382166,305102859,44369276,57426
92,976714,33526647,318715316,29013775,50901
93,984462,43499412,318601491,22296177,49575
94,979867,40217855,303565380,16307100,47410
95,1270167,40724572,296551838,40875429,53739
96,989792,35778298,291284934,39445171,46783
97,967644,43114889,306169482,35162032,47166
98,1065559,37621963,315176883,29161412,47454
99,957214,45811749,318523238,23776898,47471
100,980962,36916184,302974614,17690447,47143
