i,sstep,lambdastep,gammastep,wstep,loss
1,1013249,30135034,238497881,42573876,47095
2,712867,37669108,262815653,595663461,49595
3,752034,38256881,2058036143,1438841098,49821
4,808734,27121398,257115667,1006667904,55264
5,770242,48228649,237761259,571526973,50184
6,701078,35073204,243302712,39731029,57087
7,777419,34822337,271891354,39142857,49592
8,702308,25772975,243062136,39466507,58584
9,2013447,37863578,275687449,39177245,51567
10,733711,29782697,286736327,16841129,49846
11,714465,30222673,254976552,39581066,60031
12,705931,37047971,314926125,19133671,47598
13,737334,21101167,282993443,39474397,53340
