i,sstep,lambdastep,gammastep,wstep,loss
1,990892873,194703208,915789018,580356842,114036
2,617015887,909453264,491482280479,1538152808,138963
3,734727356,617771772,941098322,799311476,113824
4,824670920,296483690,880102075,2591900526,117181
5,674374371,649080675,894859942,34516718,111589
6,662911816,216467172,895752409,46351818,115501
7,785575470,233296092,905388587,20109476,113148
8,873026416,230520853,914290308,35537935,114236
9,676832032,229714026,889535712,46701852,112932
10,717776455,233034494,903689496,19918088,115758
