i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,782675,8749322,15104,167953688,168231,663629
2,198647,8901460,11495,168287298,143996,682296
3,195251,8745126,12010,167759004,147298,670454
4,195026,8910096,13109,168061277,144009,700780
5,195658,9164137,11012,167757885,144898,708930
6,194400,9182508,11803,167256851,145990,695068
7,200555,9385184,11374,168132516,150608,682610
8,194542,9335455,15857,167376961,145969,696627
9,193377,9219154,12158,150972870,143066,1694217
10,195997,25676715,12411,148510350,139692,1731802
11,194749,8613116,11582,164390506,149938,1742008
12,200241,8755065,13185,165282555,143659,772335
13,194369,8683152,12048,168314111,146432,664313
14,194074,8839504,11189,167687042,149191,644099
15,193371,8737430,11887,168884092,144953,706164
16,193217,8732591,11501,167689352,147774,671553
17,198807,8879891,22688,167875843,145529,695891
18,194234,9181599,11685,167410961,152878,661696
19,194152,9203166,11271,167479533,148488,686158
20,195276,9474499,11935,168223430,147128,671534
21,194161,9260056,12202,167381183,147245,695584
22,193947,9213619,11151,151462934,143998,1710828
23,195912,25502326,10778,148701609,145412,1739235
24,195787,8706517,11285,164480792,145995,1702864
25,204263,8771007,16770,166639113,146797,1079814
26,194236,8788164,11039,172323221,138188,654076
27,200866,8716855,11869,168003822,144190,672915
28,193101,8684045,11707,168555807,144675,671706
29,195836,8713424,11870,167525439,150115,695308
30,193300,8954507,11631,167999803,151718,692126
31,198585,9206040,11737,167712763,146779,694127
32,194137,9253921,12353,167809760,145329,708587
33,194843,9260435,10846,167849834,145703,700604
34,199046,9321684,12448,168023695,146085,698523
35,194242,9223425,12307,167421924,149761,685391
36,192220,9228963,11108,149582752,139069,1705484
37,193439,9029772,11750,165585280,142447,1715178
38,194048,8863882,10686,164878177,140743,1374457
39,193990,8964739,11611,167260767,144041,659255
40,192110,8688065,11463,167917549,142054,670256
41,198909,8663751,12335,167958232,145436,653362
42,195248,8763874,11920,167470589,147215,696447
43,193361,8895949,10951,176870687,148587,708538
44,195118,9172148,11817,168692383,146798,694865
45,193859,9164819,11226,167642023,144713,689842
46,193965,9263648,11986,167914100,144745,711914
47,195214,9228385,10756,167865659,152015,668688
48,192801,9263425,11877,167354782,143860,720962
49,194449,9213582,11516,149839733,150452,1697527
50,194846,8751328,10652,164793413,140534,1723053
51,193812,8766420,11265,164384972,147982,1661605
52,194707,8734119,9822,167022849,140511,657163
53,198358,8735310,11600,167529408,144879,643546
54,194567,8686608,12196,169428320,144709,688450
55,195028,8750490,13007,167451110,145036,669998
56,193415,8884188,11914,168023621,143613,686321
57,199486,9055577,11709,167127984,144613,664938
58,193849,9134733,11146,167513515,147999,707311
59,194035,9232198,11224,167947061,143182,701759
60,194541,9235342,11133,167766450,142578,691934
61,198765,9254460,12188,167335030,145425,694930
62,194203,9272722,11171,150833696,142770,1690101
63,195002,24899346,11341,149247063,142255,1700063
64,193566,8677637,19987,163948025,140916,1706858
65,198383,8683001,11668,166724667,142182,652070
66,193701,8719580,11442,167742144,142863,688968
67,194334,8704708,11450,168382188,155367,673196
68,193674,8892575,11866,167685188,144749,691189
69,195383,8668472,11317,168247587,146965,699314
70,202147,9003560,12424,167317858,140960,681503
71,194538,9122586,11221,167487635,149482,687878
72,194345,9211823,12475,167719999,149143,666791
73,194345,9250711,13125,168177939,146480,698939
74,195520,9343617,11138,167624584,147015,690471
75,194954,9193474,11690,150811119,144166,1745649
76,193877,25029910,10726,148416123,140498,1699888
77,194158,8661806,18587,164252230,141580,1711282
78,194195,8656718,10692,166223286,145499,650059
79,192563,8712217,11277,167538417,147722,664524
80,192629,8788661,11840,168349650,142195,663494
81,192939,8699237,11825,167370646,144931,706382
82,198793,8691572,11621,167800011,142324,691216
83,194540,8918867,11074,167518629,145519,700503
84,193922,9163991,10968,167552508,149108,681646
85,195297,9172923,11526,167704338,147552,687963
86,193472,9357577,11800,167690103,145284,706765
87,194393,9228484,11961,167712209,149901,694941
88,194486,9211693,11697,151171451,144854,1716319
89,197423,25361823,11114,149284099,138771,1737879
90,196946,8684887,15270,165540646,140388,1698580
91,193620,8664550,10718,166122655,140898,663834
92,199982,8810012,12282,167621580,143170,682905
93,193417,8659252,12528,168393563,146350,683831
94,194045,8764199,16197,167750055,140648,701022
95,194238,8676590,11352,167975478,147432,690562
96,193542,8917295,12358,167373432,145241,682999
97,194887,9450428,10295,167609558,145417,681656
98,201114,9261865,12350,167280628,144960,718478
99,198062,9240385,12186,167432920,147694,661221
100,196248,9247803,12187,167231976,145094,689287
