i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,30587,856596,3610,2678707,30602,399941
2,31557,845252,3061,2624239,27635,388222
3,31879,836444,2925,4427025,26930,379148
4,32996,830318,3262,7131060,39663,438319
5,32508,846740,2723,6979076,28487,373715
6,31822,843682,2757,6975651,26835,389907
7,30859,904203,2772,6996336,27280,382745
8,31348,855109,2814,6964929,27415,413485
9,32228,830393,2770,7408587,25291,492395
10,31634,854231,2815,6982733,26283,505961
11,32100,847438,2546,6989319,25337,502964
12,31734,842203,2953,6925195,25858,497084
13,31694,844579,2710,7012037,25673,493704
14,30908,841397,2631,7344667,26006,496356
15,32076,826545,2853,7343635,25435,497287
16,31168,845828,2873,7317341,25297,489376
17,30263,838732,2555,7309853,24532,487387
18,31854,845825,2490,7285073,30652,488823
19,32180,838032,2465,7275243,25135,497371
20,34413,848921,2499,7352738,26238,497229
21,30984,829944,2415,7292250,24948,488559
22,30576,842120,2471,7266681,28955,490000
23,31139,866575,2935,7267567,25328,495307
24,31760,809159,2476,7262222,26023,484935
25,29838,809380,2586,7262965,23409,485971
26,31492,808971,2527,7258686,23181,491386
27,30410,815214,2909,7261586,23294,489726
28,32037,813237,2467,7279002,23952,490542
29,31653,823836,2503,7259128,23499,497516
30,30476,822831,2577,6111892,24518,283351
31,29372,818018,2443,4144226,24277,296530
32,29604,802615,2624,4540348,24095,282735
33,29303,817883,2458,4534903,26043,280219
