i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,85590,129593269,44470,45265968,504559791,74155880
2,32325,127701769,29712,143696104,504107322,98650904
3,34610,127402579,29430,138770399,445983040,85882364
4,32584,127267056,29720,138189665,449648736,86028649
5,32952,127936031,28598,142091571,508848987,98574934
6,30343,129035534,27758,136686602,368299945,98477259
7,32125,127425051,27676,136398582,422352559,86005765
8,31398,128305783,28857,134449594,489666358,50424575
9,31676,127398564,29805,142485887,521482010,97549168
10,31169,127041703,28324,130973059,507664698,98588720
11,34738,126720476,29380,134526130,476653491,41885681
