i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,437471,147678013,43881,122546201,481650444,86984338
2,43163,143509342,37809,153528652,469111911,14286547
3,43143,143804829,39619,159791507,538395974,5589947
4,45947,141244478,39242,159807660,558678658,86283484
5,42838,142153205,37848,159153718,565945080,86649825
6,42914,144115649,37981,153007624,529978920,12441908
7,43387,141492022,40378,160143891,439969570,41527862
8,45348,146809796,47848,156675281,665681721,12303306
9,44102,141817070,39331,161943254,602526049,5394112
10,45890,144797593,38658,160082030,515874312,34433896
