i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,50150,10827370,21665,41235136,465368763,100141846
2,17810,105869418,22163,124655993,444894936,33955416
3,17401,109029845,21505,122488399,390982263,14087219
4,29886,105035888,24911,118515550,434536713,10826642
5,30967,108820758,22864,118958355,476848493,34761342
6,17058,105651125,21431,123473396,338885804,16864201
7,34306,103757694,21374,118148771,443288870,12743512
8,25680,103713684,23256,121514628,452056853,37876771
9,29280,101816552,21443,119972039,381237575,18766000
10,31749,102765710,24569,118417941,450636133,13605848
11,28411,109681917,21890,119734463,492224930,34075846
12,17761,121795786,20642,122090275,360713041,9722536
13,31086,103233055,22704,121251513,412704779,12935384
