i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,32550,8787909,19289,7497780,492213359,85312327
2,15318,103931238,18861,116208638,411504749,6591674
3,30373,8584587,21071,119271208,490106413,83477161
4,26157,101250321,20890,117169169,444838469,13956837
5,29108,8542736,19132,116876338,489308133,93611986
6,33344,108060471,19804,120686681,519927569,40758481
7,28668,9147003,19563,119771668,488711164,88252565
8,15599,8564824,21781,123864457,462090954,83201571
9,16848,104697852,20581,121573230,515461699,16819486
10,26637,8522325,21209,120358402,467537888,82772577
11,27264,109419637,18652,114186344,492262950,10815920
12,26452,8519564,20492,119080826,527232735,82697207
