i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,71113,123670652,26986,19150615,489491882,98627798
2,25825,122160802,26147,131979175,325611457,2597290
3,24975,122529397,26420,131676731,464934316,50551770
4,26022,123140236,26727,132821771,551354648,95365984
5,26683,126862149,24679,133005909,569295034,2803304
6,25210,122574356,35556,130973852,479079920,50427179
7,33780,115761001,39388,135152776,409296012,99544427
8,25558,122962442,25901,129672847,408563402,83900180
9,27468,122823870,25461,132196957,530651875,85132374
10,25869,127659198,26376,127985010,442269336,98377634
11,25504,116310485,37147,127386793,471212932,95796764
