i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,15821,8561727,21128,7414462,495376010,83253170
2,26342,102319410,19447,116865756,452388776,14074214
3,26462,8535568,17647,120122166,447051232,110762745
4,27851,8560529,19771,47140317,533415549,83126435
5,14905,10404090,16431,122661996,397207739,110318087
6,17891,8527268,18888,121602480,470355387,82974883
7,25943,9990052,18107,113648366,414064648,94524502
8,29714,8544919,27925,115815455,463254265,83253830
9,26763,104052765,19857,120768078,451585294,22155510
10,25809,8526262,18193,121029038,445303118,111379333
11,28553,8511142,18795,113084725,468448337,82784632
12,14356,104682346,16128,121954066,419009831,5504130
