i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,7275,44700,3951,382396,3510618,34424
2,35350,42967,3749,376357,3472807,35876
3,57514,38286,2648,384157,3293347,49581
4,24867,45192,3642,380860,3706970,35476
5,12780,45368,3449,390309,3345106,35253
6,12668,41847,3547,386848,3686514,34711
7,12858,42301,4012,390100,3622464,34244
8,12860,44004,3942,416363,3778183,34565
9,12875,50363,3778,397209,3888645,38530
10,12739,44118,4142,394128,3543335,35067
11,12958,43345,3935,393202,3866283,37595
12,12604,43154,4269,9659623,4041024,37334
