i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,13214,85674,6237,958265,3782648,51544
2,122164,72353,4793,940749,3742955,54112
3,66078,79375,4079,927785,3719675,54423
4,22729,91057,4394,920492,4038840,73944
5,22283,89410,4294,1128049,3820087,72400
6,32178,117402,6062,6188198,4015218,49106
7,21882,100186,4408,911485,3384354,69879
8,22716,90515,4469,919828,3747167,49488
9,22540,90747,4571,918019,3751499,52339
10,22651,89816,4374,933535,3718229,53232
11,22767,91835,4406,926508,3776208,50785
