i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,5498,21207,3007,233825,3712003,37912
2,7367,27430,3444,238904,3959923,43025
3,16021,26844,2789,244246,3944246,41797
4,7422,27106,3077,239541,3645065,39422
5,7581,25724,2958,238330,3987997,40265
6,8019,25917,2716,230540,3948535,30942
7,7545,26889,2743,250590,3616462,31106
8,7702,26295,2856,276555,3606625,31256
9,8089,26128,2905,261167,3944936,35209
10,8184,26534,2856,238019,4020751,31457
11,7578,26716,2791,230626,4005600,31088
12,7928,27232,2687,244095,3636826,31818
13,7868,27368,2843,242914,3707155,34901
14,7612,27345,2790,234785,4220228,33891
15,7779,26386,2952,240492,4277235,30951
