i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,15120,117360786,25818,10516912,560305813,56588276
2,32746,108169307,17241,121551711,535834885,20537785
3,26839,108110553,17264,115248594,502805185,15442879
4,28104,72612073,16956,61058843,549647067,49538510
5,28153,103982609,18489,21214402,592980566,18698399
6,26463,107031894,17777,116264143,501616822,24054018
7,26941,104047758,18138,116841059,552229603,27704499
8,29949,104679834,18333,117542573,553488025,30374235
9,26585,111613883,18762,52453292,615057001,21585837
10,28037,104873805,18844,117277579,558076275,27169528
11,27075,107036260,19044,26708544,642816120,25265845
12,28531,107973449,21352,114575167,571256600,63489097
