i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,32144,8747772,19347,10788501,539107654,85122287
2,43701,102672873,20565,119789234,580865276,11457183
3,28470,105446757,24298,25290999,598075124,12048692
4,28532,101643739,19376,24606064,522122335,14475361
5,30176,106138450,17925,115841165,428326436,7765815
6,28122,10115182,18503,116606657,425190703,96320171
7,27426,101349049,18296,111212728,377815593,11541155
8,27590,9963262,18883,102336414,388815341,96378076
9,98881048,8849549,17628,21400710,358768771,85973803
10,15270,8824504,18826,122359813,405477085,85592342
11,26967,8833674,17893,44720919,496890336,85658725
12,26506,8807221,18326,117428158,424389638,85530824
