i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,71651,122544469,25081,28161135,503374295,102455940
2,26554,123087938,26077,131076235,498188393,98600315
3,27202,125915673,26094,126224987,492263259,4023368
4,25839,124438738,25563,131492261,532606364,88838703
5,25883,122877863,24863,125451599,534582831,3768974
6,25934,122926820,26507,129533604,510574683,89994636
7,25417,122728836,24634,125937406,509464399,89560590
8,25953,122707480,33512,125992922,504410011,78463032
9,25960,122982780,26896,125825166,501366509,98642655
10,25617,122667520,25538,130076081,427041781,77935523
11,26034,122899298,25827,127955128,442413437,92274937
