i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1670980,159848408,53557,78201607,518323072,75020360
2,67555,162809547,53802,184053640,538867199,3306289
3,68002,160486914,52581,180829536,461220691,74846814
4,67884,160306351,51482,183515706,491941614,3836107
5,67188,160300211,51100,192896365,473484683,34974799
6,73426,160090139,52611,191819241,476126908,93211933
7,69739,163320147,53062,186912574,481090012,3464745
8,70492,159194178,52993,187182715,542136334,47331684
9,68787,159758591,52677,190368768,527040472,87051514
10,68836,159591140,53343,183374829,519454691,39579375
11,68098,162240340,72576,184618323,415341719,74319323
