i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,36349,111935254,30424,10196828,516774654,35158381
2,41296,111011431,20866,121306002,331118821,17270053
3,18194,104781907,22685,125352073,339911006,28217440
4,30589,109294657,22854,116786199,400586417,29956777
5,32114,106970085,21711,120865894,421810340,20544391
6,28577,107009550,23567,121386729,351934154,24641025
7,18470,109264645,20906,124032832,355985775,30999139
8,35880,110103730,23282,114340832,408109314,29921037
9,18555,106937157,20161,125733773,331326804,23850670
10,18162,111206491,20176,124211234,371344455,19769580
11,18003,104035405,23240,124037626,334628461,31153003
12,17764,111332042,23500,122126136,387689615,21032212
13,18631,104771018,22774,122474080,397633644,24030395
