i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,47883,118994672,22989,56528614,490447853,8955530
2,16966,103327123,21848,124274278,417378242,16619175
3,30201,101945237,21412,120794453,447233712,18037706
4,18260,107414130,27366,124625810,432815931,32089454
5,18447,104472587,22985,121965340,393583584,26121372
6,30771,106533927,24171,115187169,486794650,24702624
7,31138,104049533,25560,117169305,480833633,42280164
8,28621,101918028,22843,120797201,487628833,17912552
9,29503,106205395,39739,99738072,530788549,14160400
10,32050,110315458,25217,127144964,442555483,10029888
11,17063,108261831,24654,121937151,399750619,11573974
12,32116,110771616,20329,120638716,448364500,31258069
13,30766,106284576,21187,116293724,420758610,21082658
