i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,68699,114923122,39313,20422529,445691727,93622517
2,24056,122784327,24267,129254400,436378999,110167137
3,24731,120852659,35608,131242101,481081635,105716441
4,25119,128653691,24642,129027787,481171306,28047839
5,25437,122863410,27743,126605034,464100602,3753849
6,25557,122440436,24816,129452318,453022070,85764928
7,24573,110373801,40939,133298595,450444114,80773739
8,24810,122858305,24791,131824495,401685509,88937578
9,24730,122831458,24913,130264094,427713118,82124574
10,26658,123258963,24822,126290384,539693170,88216291
11,25952,123148271,23682,130898721,440671495,93105660
