i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,431550,148866107,37161,102646984,529592358,62025275
2,52593,147760658,39495,153652165,471013755,98337400
3,43880,152244502,37759,157922554,520755892,93528083
4,46304,149485081,36923,160978701,454876140,52659615
5,44688,148671792,40307,160855502,461593583,9333859
6,44018,151447673,38287,159334588,546429538,113520530
7,42531,154593729,46665,125506659,624656982,5792869
8,56892,148372348,38985,161143716,495271082,8567377
9,43652,153059927,44177,157004674,578540266,3437914
10,42511,153213062,37181,157563262,459649226,5517516
