i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,585871,138861854,37053,66180003,516751179,5147724
2,41599,136655256,35669,150107285,440717664,21327156
3,42088,137119161,37121,156637489,477113241,52341907
4,42608,136804302,35426,136032464,539335057,86596394
5,42806,136459346,38254,147734349,501599384,41794283
6,42427,136279386,36713,154501629,486738094,97681229
7,48145,137035099,34357,150779092,420674609,55612724
8,41791,137254293,37431,132765329,491870404,86355792
9,43840,136877670,37131,153549739,400318412,21596799
10,42595,137099768,37070,155283877,466860210,88516638
11,42699,136640629,36462,132439417,503523304,3347562
